Vielen Dank an die vielen, die sich diszipliniert verhalten, die Abstand halten, Maske tragen und, auch wenn es schmerzt, Kontakte reduzieren. Ohne die Bereitschaft zur Eigenverantwortung einer groÃŸen Mehrheit der BÃ¼rgerinnen und BÃ¼rger gÃ¤be es diesen RÃ¼ckgang nicht.  WELT @welt  Â· 5. Feb. 2021 Corona: Nur noch vier BundeslÃ¤nder Ã¼ber Inzidenz von 100 http://to.welt.de/2dHjxev 27 18 152	positive	-0.4291	{'neg': 0.108, 'neu': 0.846, 'pos': 0.046, 'compound': -0.4291}
Endlich! Damit wird eine langjÃ¤hrige Forderung von uns  @GrueneLandtagBY  endlich Wirklichkeit! Haben dazu unzÃ¤hlige AntrÃ¤ge gestellt: https://katharina-schulze.de/oktoberfestattentat-respekt-und-anerkennung-fuer-die-opfer/â€¦ BR24 @BR24  Â· 3. Juli 2021 Nach jahrzehntelangem Hin und Her bekommen 93 Opfer des #MÃ¼nchner #Oktoberfestattentats jetzt Geld aus einem Fonds. Bund, Freistaat und Stadt MÃ¼nchen haben den Opferfonds mit 1,2 Millionen Euro im letzten Jahr eingerichtet. https://br.de/nachrichten/,Sc54Danâ€¦ 3 5 52	positive	-0.1739	{'neg': 0.029, 'neu': 0.971, 'pos': 0.0, 'compound': -0.1739}
Ich bin froh, dass die Streikenden abbrechen und wieder trinken und essen. Das Leben geht vor. Ich stehe zu meinem GesprÃ¤chsangebot nach der Wahl, daran werde ich mich halten. Aufstand der letzten Generation @AufstandLastGen  Â· 25. Sep. Team trockener Hungerstreik: ++ EIL: Trockener Hungerstreik beendet - @OlafScholz sagt Ã¶ffentlichem GesprÃ¤ch innerhalb der nÃ¤chsten vier Wochen Ã¼ber #Klimanotstand  zu ++ 609 353 2.586	positive	-0.1779	{'neg': 0.087, 'neu': 0.868, 'pos': 0.046, 'compound': -0.1779}
 gibt weiterhin viel zu tun. Ein erster Schritt ist aber endlich gemacht. #nohatespeech Ekin DeligÃ¶z @ekindeligoez  Â· 11. Feb. 2021 Danke @KathaSchulze - wir haben es deinem Einsatz zu verdanken, dass Bayern ein Online-Meldeverfahren bei Hass und Hetze hat! #grÃ¼nwirkt 11 8 68	positive	-0.4199	{'neg': 0.101, 'neu': 0.837, 'pos': 0.062, 'compound': -0.4199}
Heute Abend bin ich um 20:15 Uhr bei der Bundestagswahl-Show von  @ProSieben  und  @louisklamroth . Schaltet gerne ein!  6 4 165	positive	-0.2714	{'neg': 0.11, 'neu': 0.89, 'pos': 0.0, 'compound': -0.2714}
Mit Glasnost & Perestroika hat #Gorbatschow die Welt bis heute nachhaltig verÃ¤ndert. Ohne Ihn & seinen Mut wÃ¤re ein Ende d. Kalten Krieges u. die Wiedervereinigung nicht mÃ¶glich gewesen.  Ich wÃ¼nsche Ihnen alles Gute zum 90. Geburtstag, lieber Michail Gorbatschow!  Bild: @bund_net 8 27 199	positive	-0.088	{'neg': 0.21, 'neu': 0.587, 'pos': 0.204, 'compound': -0.088}
SchÃ¶n warâ€™s in #Chemnitz! Endlich wieder ein normales Leben ohne Corona-Regime, da macht der Wahlkampf gleich doppelt so viel SpaÃŸ! #nurnochAfD #AfD #btw21865356 	positive	-0.3859	{'neg': 0.106, 'neu': 0.894, 'pos': 0.0, 'compound': -0.3859}
Meine alte #BettinaSchule hat seit gestern einen Super-VIP-Ex-SchÃ¼ler: den diesjÃ¤hrigen TrÃ¤ger des #NobelPrize fÃ¼r #Chemie #BenjaminList!Gratulation! #FrankfurterBubb #Frankfurt #MeinFrankfurt (Ob er wohl ein Adler ist?)46205 	positive	-0.3365	{'neg': 0.09, 'neu': 0.91, 'pos': 0.0, 'compound': -0.3365}
An unsere Freund*innen, die heute wieder in #Belarus oder im Exil protestieren: #WeStandBYyou721134 	positive	-0.128	{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.128}
Es geht auch anders, wie diese Grafik eindrucksvoll zeigt.Our World in Data@OurWorldInData Â· 27. Okt. 2021The German-speaking countries stand out in Western Europe: Germany, Switzerland, and Austria in the three last places.[all our data: https://ourworldindata.org/explorers/coronavirus-data-explorer?zoomToSelection=true&time=2020-12-04..latest&region=Europe&facet=none&pickerSort=desc&pickerMetric=gdp_per_capita&Metric=People+vaccinated&Interval=7-day+rolling+average&Relative+to+Population=true&Align+outbreaks=false&country=CHE~AUT~DEU~ESP~FRA~PRT~ITA~BEL~NLD~GBR~IRL~ISL~NOR~SWE~FIN~DNKâ€¦]20862 	positive	-0.1531	{'neg': 0.062, 'neu': 0.892, 'pos': 0.046, 'compound': -0.1531}
Wir dÃ¼rfen nie vergessen: Ohne den Mut der BÃ¼rger*innen im Osten gÃ¤be es den #TagderDeutschenEinheit nicht. Heute sind wir ein Land, trotzdem bleibt viel zu tun â€“ wir brauchen gleiche GehÃ¤lter, Renten, Perspektiven. Das schaffen wir nur, wenn wir auf Gemeinsamkeiten setzen!7284003.667 	positive	-0.2598	{'neg': 0.069, 'neu': 0.884, 'pos': 0.046, 'compound': -0.2598}
Die Schule am Eiderwald in Flintbek hat doch tatsÃ¤chlich bei einem Spendenlauf aller Klassen zugunsten einer von der Hochwasserkatastrophe schwer getroffenen Schule in Bad Neuenahr-Ahrweiler rund 29000 Euro â€žerlaufenâ€œ.Diese groÃŸartige Gemeinschaftsleistung wurde gestern gefeiert.19570 	positive	-0.25	{'neg': 0.057, 'neu': 0.943, 'pos': 0.0, 'compound': -0.25}
Vielen Dank & vergeltâ€™s Gott, Herr Kollege @smuellermdb. Ich habâ€™s durchgelesen, nichts Neues entdeckt und unverzÃ¼glich ans Kanzleramt weitergeleitet , da dort (und in Ihrer Fraktion) mE erheblicher Bedarf an Grundgesetznachhilfe besteht! Nichts fÃ¼r ungut!#InfSchG #AfD16752 	positive	-0.1506	{'neg': 0.08, 'neu': 0.856, 'pos': 0.064, 'compound': -0.1506}
Mit der fortschrittlichen Zukunftskoalition aus Sozialdemokraten, GrÃ¼nen+Liberalen haben wir eine Gestaltungschance, auf die manche vor ein paar Monaten kaum gehofft haben dÃ¼rften.Wir sind wieder da!@spdde ist stÃ¤rkste Fraktion im Bundestag und @OlafScholz wird Kanzler.#SPD48431 	positive	-0.2587	{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.2587}
Soll mal noch jemand sagen, der Zoll leistet keine gute Arbeit Denn: Jedes Gramm Drogen, was nicht auf dem Schwarzmarkt landet, landet auch nicht bei den Konsumenten! https://rtl.de/cms/crystal-meth-im-haargel-zoll-stellt-kiloweise-drogen-sicher-4723030.htmlâ€¦ 285 58 26	positive	-0.6423	{'neg': 0.153, 'neu': 0.847, 'pos': 0.0, 'compound': -0.6423}
Olaf Scholz hat auch das 2. Triell gewonnen. Der Kompetenzabstand war besonders gross. Die Rote Socken Kampagne zieht nicht. Hoffentlich reicht es fÃ¼r Rot-GrÃ¼n. m.tagesspiegel.de Umfrage sieht Olaf Scholz deutlich vor Laschet und Baerbock Das TV-Triell ist zu Ende + Eine Zwischenumfrage sieht Scholz vorne + Die Blitzbilanz der Tagesspiegel-Triell-Beobachter + unser Blog. 262 104 2.320	positive	-0.34	{'neg': 0.044, 'neu': 0.956, 'pos': 0.0, 'compound': -0.34}
"Congratulations,  @JoeBiden ! You are right: ""#Democracy is precious and democracy is fragile"" - I hope the EU & the US will be able to learn from eachother and support eachother in order to strenghten our democracies. #InaugurationDay 4"	positive	-0.3802	{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.3802}
"#EU27 have agreed on a clear message to #Putin: In future  offenses will be sanctioned even harder. This is a sign of realism &  unity. On this basis, dialogue becomes more feasible: Not to whitewash anything, but to manage existing conflicts & define areas of cooperation.
10
4
42"	positive	-0.2382	{'neg': 0.043, 'neu': 0.957, 'pos': 0.0, 'compound': -0.2382}
"SouverÃ¤ner Auftritt von 
@c_lindner
 bei #BerichtausBerlin. Hat sich auch von peinlichen Fragen nach seinem Vermieter und Porsche u.a.,  die schon im Sommerinterview 2020 gestellt wurden, nicht aus der Ruhe bringen lassen. Klare Kante zu Steuergerechtigkeit und Grundrechten.
19
13
556"	positive	-0.5271	{'neg': 0.127, 'neu': 0.822, 'pos': 0.051, 'compound': -0.5271}
